Question,Distractor A,Distractor B,Distractor C,Distractor D,Choice A,Choice B,Choice C,Choice D,T/F,Rationale
Which of the following are electrical power sources on the B737NG? (Select all that apply),Ram Air Turbine (RAT),APU Generator,Engine Generators (IDG),External Ground Power,F,T,T,T,,The B737NG does not utilize a Ram Air Turbine.
Two basic principles of operation are (AC Electrical)? (Select all that apply),No paralleling of DC power sources,No paralleling of AC pwoer sources,AC engine generators automatically have power priority over any other operaitng generator.,A source of power connected to an AC Transfer Bus automatically disconnects the previous source.,F,T,F,T,,"Two basic principles of operation are: No paralleling of AC power sources, and a source of power connected ot an AC Transfer Bus automatically disconnects the previous source."
What does the blue GRD POWER AVAILABLE light indicate?,The Ground Service Busses are powered.,The APU generator is available on the ground.,External power is conected and meets aircraft quality standards,External power is connected. Power does not meet aircraft quality standards.,F,F,T,F,,The GRD POWER AVAILABLE light indicated that external power is conected and meets aircraft quality standards for voltage and frequency.
What does the blue APU GEN OFF BUS light indicate?,The APU generator has failed,The APU is not running.,The APU is running and not powering any AC transfer Bus.,The APU is running and not powering both AC Transfer Busses.,F,F,T,F,,THE APU GEN OFF BUS light inidicates that the APU is running and not powering any AC Transfer Bus.
Which of the following causes the DRIVE light to illuminate (Choose the best answer)?,IDG oil low pressure,IDG oil high oil pressure or over frequency condition.,IDG oil low quanitity or over frequency condition,IDG oil high oil temperature or under frequency condition.,T,F,F,F,,The DRIVE light illimuinates when the IDG oil pressure decreases below a predetermined limit or an under frequency condition exists.
"IDG low poil pressure, with the DRIVE light illuminated is caused by which of the following conditions? (Select all that apply)",IDG manually disconnected.,Engine shutdown,Automatic disconnect,IDG failure.,T,T,T,T,,All answers are correct.
The GEN OFF BUS light only illuminates when the engine generator is running and is not powering the related AC Transfer Bus.,,,,,,,,,F,"The GEN OFF BUS light illuminates any time the engine generator is not powering the related AC Transfer Bus. This includes when the generator is not operating, such as when an engine is shutdown."
What is the purpose of selecting the BUS TRANSFER switch OFF? (Select all that apply),To Inhibit the Ground Service Busses from powering the battery chargers.,To inhibit Bus Tie Breaker auto switching.,To inhibit external power from connecting to the AC Transfer Busses,To open the cross bus tie relay,F,T,T,F,,Selecting the BUS TRANSFER switch OFF inhibits BTB auto switching and opens the cross bue tie relay.
What is the purpose of the automatic on-line feature?,To automatically transfer power to an external power source in the event the APU is shutdown or fails on the ground,To automatically transfer power to the APU generator in the event an engine fails or is shutdown,To automatically transfer power to external power once a ground power source is connected,To automatically transfer power to the engine generators in the event the APU is shut down or fails while connected to both AC Transfer busses.,F,F,F,T,,
The automatic on-line feature operates only when the aircraft is in-flight and once per flight.,,,,,,,,,T,
What does the TRANSFER BUS OFF light indicate?,The BUS TRANSFER switch is OFF,The respective AC Transfer Bus is not powered,Both DC Busses are not powered,A source of power has been manually selected.,F,F,T,F,,The TRANSFER BUS OFF light indicates that the respective AC Transfer Bus is not powered.
The Ground Service Busses provde power to? (Select all that Apply),AC Standby Bus,The aircraft cabin.,Captain's flight instruments.,Battery charger.,F,T,F,T,,The Ground Service Busses provide power to the aircraft cabin and battery chargers.
How many Transformer Rectifiers (TRs) does the B737NG have?,1,2,3,4,F,F,T,F,,The B737NG has 3 TRs.
How many TR units are capable of supplying the total connected load?,1,2,3,,F,T,F,,,2 TR units are capable of supplying the total connected load.
What is the normal AC source of power for TR3?,Ground Service Bus to power the DC power system while on the ground.,"AC Transfer Bus 2, with a backup from the AC Transfer Bus 1.","AC Standby Bus, with a backup from AC Transfer Bus 1","AC Transfer Bus 1, with a backup from AC Transfer Bus 2.",F,T,F,F,,"TR 3 receives its power from AC Transfer Bus 2, with a backup from AC Transfer Bus 1."
A TR UNIT light indicates?,TR 3 has failed.,TR 2 has failed.,TR 1 and TR 2 have failed.,"TR 1, or TR2 and TR3 have failed.",F,F,F,T,,"A TR UNIT light in flight indicates TR 1, or TR 2 and TR3 have failed."
A TR UNIT light illuminted on the ground indicates any TR has failed.,,,,,,,,,T,
When will the DC cross bus tie relay open automatically?,Glide slope capture during a Flight Director or Autopilot engaged ILS approach. (APP mode selected on MCP),Failure of any DC bus.,"Descening below 1,500 AGL during an RNAV approach.",Failure of the DC Standby Bus.,T,F,F,F,,The cross bus tie relay will open automatically at glide slope capture during a Flight Director or Autopilot ILS approach.
What is the aircraft pwoer source while operating on standby power?,APU generator,Ram Air Turbine (RAT),Solar power,Aircraft Battery,F,F,F,T,,During a loss of all generators the aircrafts battery provide standby power.
"With a loss of all generators, what duration of time can the aircraft's batteries power the standby system?",30 minutes,60 minutes,90 minutes,180 minutes,T,F,F,F,,The main battery (fully charged) can power the standby system fro at least 30 minutes.
"When the STANDBY PWR OFF light illuminates, what electrical busses may not be powered? (Select all that apply)",AC Standby Bus,DC Standby Bus,Hot battery bus,Battery bus,T,T,F,T,,"The STANDBY PWR OFF light indicates that one of the following busses is not powered: AC standby Bus, DC Standby Bus, or Battery Bus."
"During cruise flight, an ELEC light indicates a fault in the DC power system or standby system",,,,,,,,,F,The ELEC light only indicates a fault in the DC pwoer system or standby system while on the ground.
What happens when the STANDBY POWER switch is placed to the BAT position?,"AC standby, DC standby, and Battery Bus power is removed.","AC Standby, DC Standby, and Battery Busses are placed on battery power.",AC Standby Bus is powered from AC Transfer Bus 1.,AC Transfer Bus 1 and AC Transfer Bus 2 are depowered.,F,T,F,F,,"Selecting the BAT position manually selects the AC Standby, DC Standby, and battery busses to battery power."